identity,source,support_images,query_frames,mean_score,max_score,topk_frame_mean,min_score
uav_strike_drone_2_war_thunder_line_of_contact,data\uav_dataset_yolox_crops\train\uav_strike_drone_2_war_thunder_line_of_contact,80,70,0.013546734116971493,0.8060241937637329,0.42851191759109497,-0.4006659984588623
neg_real4,data\uav_dataset_yolox_crops\train\neg_real4,29,70,0.12025865912437439,0.6402885913848877,0.3971870541572571,-0.1767929196357727
mq-1_uav_war_thunder,data\uav_dataset_yolox_crops\train\mq-1_uav_war_thunder,69,70,-0.01474233902990818,0.4654325246810913,0.35822591185569763,-0.41606754064559937
baykar_bayraktar_tb2,data\uav_dataset_yolox_crops\train\baykar_bayraktar_tb2,72,70,0.039662137627601624,0.6568228006362915,0.3526560664176941,-0.5424270629882812
real3,data\uav_dataset_yolox_crops\train\real3,23,70,0.10515265166759491,0.5658661127090454,0.35263049602508545,-0.15128149092197418
uav_bl,data\uav_dataset_yolox_crops\train\uav_bl,62,70,0.07689305394887924,0.497620165348053,0.3074418008327484,-0.4073807895183563
mq_1_predator_uav,data\uav_dataset_yolox_crops\train\mq_1_predator_uav,71,70,-0.1780310720205307,0.6743206977844238,0.2868856191635132,-0.626885175704956
neg_vintage_toy_airplane,data\uav_dataset_yolox_crops\train\neg_vintage_toy_airplane,75,70,-0.28763547539711,0.41395241022109985,0.22234085202217102,-0.7811150550842285
lancet,data\uav_dataset_yolox_crops\train\lancet,83,70,-0.0005249215173535049,0.3795929551124573,0.21712706983089447,-0.3803948760032654
uav_low_poly,data\uav_dataset_yolox_crops\train\uav_low_poly,74,70,-0.18228428065776825,0.5079913139343262,0.2019897848367691,-0.5956245064735413
neg_cesna_airplane,data\uav_dataset_yolox_crops\train\neg_cesna_airplane,77,70,-0.3289475440979004,0.42169713973999023,0.19118215143680573,-0.7368491888046265
uj-32_lastvika_uav,data\uav_dataset_yolox_crops\train\uj-32_lastvika_uav,86,70,-0.21889956295490265,0.6887913942337036,0.15701653063297272,-0.7347124814987183
rough_sketch_of_a_male_uav,data\uav_dataset_yolox_crops\train\rough_sketch_of_a_male_uav,39,70,-0.1250981241464615,0.2515435814857483,0.11434828490018845,-0.5181429386138916
real1,data\uav_dataset_yolox_crops\train\real1,21,70,-0.013246290385723114,0.13857875764369965,0.10911096632480621,-0.3366503417491913
uav_2,data\uav_dataset_yolox_crops\train\uav_2,31,70,-0.14913468062877655,0.17258861660957336,0.10704296082258224,-0.6029398441314697
real5,data\uav_dataset_yolox_crops\train\real5,27,70,-0.0252773966640234,0.18062900006771088,0.10692601650953293,-0.24116742610931396
neg_aknc_uav,data\uav_dataset_yolox_crops\train\neg_aknc_uav,72,70,-0.22803889214992523,0.20485815405845642,0.056403350085020065,-0.7470649480819702
neg_airplane_ww1,data\uav_dataset_yolox_crops\train\neg_airplane_ww1,77,70,-0.3814818263053894,0.3300623893737793,0.03249581903219223,-0.7115492820739746
drone_uav_wing_desert_camo,data\uav_dataset_yolox_crops\train\drone_uav_wing_desert_camo,59,70,-0.11417026817798615,0.0784112736582756,0.021361062303185463,-0.5142862796783447
neg_pigeon_in_flight,data\uav_dataset_yolox_crops\train\neg_pigeon_in_flight,66,70,-0.23902343213558197,0.20088505744934082,-0.01633024960756302,-0.5637392997741699
neg_seagul_v2,data\uav_dataset_yolox_crops\train\neg_seagul_v2,66,70,-0.23303581774234772,0.11626987159252167,-0.03945254907011986,-0.5588217973709106
rq-11_raven_uav__high-poly_model,data\uav_dataset_yolox_crops\train\rq-11_raven_uav__high-poly_model,80,70,-0.3156839907169342,0.19060087203979492,-0.09769295156002045,-0.6736478805541992
