frame,detected,det_conf,crop_px,score,verdict
frame_000239_UNKNOWN_-0.389,1,,83,0.4185,MATCH
frame_000240_UNKNOWN_-0.293,1,,88,0.3865,MATCH
frame_000241_UNKNOWN_-0.322,1,,91,0.4245,MATCH
frame_000242_UNKNOWN_-0.367,1,,92,0.4444,MATCH
frame_000243_UNKNOWN_-0.346,1,,92,0.4029,MATCH
frame_000244_UNKNOWN_-0.385,1,,90,0.3685,MATCH
frame_000245_UNKNOWN_-0.303,1,,97,0.3293,MATCH
frame_000246_UNKNOWN_-0.366,1,,93,0.3841,MATCH
frame_000247_UNKNOWN_-0.303,1,,103,0.3755,MATCH
frame_000248_UNKNOWN_-0.303,1,,103,0.3642,MATCH
frame_000249_UNKNOWN_-0.350,1,,101,0.3821,MATCH
frame_000250_UNKNOWN_-0.361,1,,105,0.3652,MATCH
frame_000251_UNKNOWN_-0.328,1,,100,0.3428,MATCH
frame_000252_UNKNOWN_-0.342,1,,103,0.3683,MATCH
frame_000253_UNKNOWN_-0.331,1,,103,0.3637,MATCH
frame_000254_UNKNOWN_-0.403,1,,103,0.336,MATCH
frame_000255_UNKNOWN_-0.470,1,,101,0.3757,MATCH
frame_000257_UNKNOWN_-0.503,1,,101,0.3963,MATCH
frame_000258_UNKNOWN_-0.504,1,,101,0.4109,MATCH
frame_000259_UNKNOWN_-0.522,1,,104,0.3657,MATCH
frame_000261_UNKNOWN_-0.454,1,,108,0.363,MATCH
frame_000262_UNKNOWN_-0.391,1,,113,0.4121,MATCH
frame_000263_UNKNOWN_-0.399,1,,113,0.4412,MATCH
frame_000264_UNKNOWN_-0.437,1,,110,0.4349,MATCH
frame_000265_UNKNOWN_-0.431,1,,114,0.3857,MATCH
frame_000266_UNKNOWN_-0.414,1,,112,0.3784,MATCH
frame_000267_UNKNOWN_-0.474,1,,107,0.4568,MATCH
frame_000268_UNKNOWN_-0.478,1,,107,0.4863,MATCH
frame_000269_UNKNOWN_-0.488,1,,114,0.3928,MATCH
frame_000270_UNKNOWN_-0.504,1,,115,0.5084,MATCH
frame_000271_UNKNOWN_-0.527,1,,114,0.4711,MATCH
frame_000272_UNKNOWN_-0.517,1,,113,0.506,MATCH
frame_000273_UNKNOWN_-0.521,1,,113,0.506,MATCH
frame_000274_UNKNOWN_-0.543,1,,116,0.5415,MATCH
frame_000275_UNKNOWN_-0.464,1,,112,0.4892,MATCH
frame_000276_UNKNOWN_-0.507,1,,117,0.5294,MATCH
frame_000277_UNKNOWN_-0.449,1,,121,0.5145,MATCH
frame_000278_UNKNOWN_-0.438,1,,121,0.4998,MATCH
frame_000279_UNKNOWN_-0.563,1,,120,0.5473,MATCH
frame_000280_UNKNOWN_-0.471,1,,118,0.5456,MATCH
frame_000281_UNKNOWN_-0.464,1,,118,0.5248,MATCH
frame_000282_UNKNOWN_-0.469,1,,116,0.5121,MATCH
frame_000283_UNKNOWN_-0.470,1,,116,0.5233,MATCH
frame_000284_UNKNOWN_-0.484,1,,111,0.5325,MATCH
frame_000285_UNKNOWN_-0.389,1,,111,0.4762,MATCH
frame_000286_UNKNOWN_-0.463,1,,108,0.5319,MATCH
frame_000287_UNKNOWN_-0.491,1,,109,0.623,MATCH
frame_000288_UNKNOWN_-0.482,1,,109,0.6199,MATCH
frame_000289_UNKNOWN_-0.488,1,,100,0.5943,MATCH
