threshold,tp,fn,fp,tn,tpr,fpr,acc,bal_acc,youden
0.022702131053460917,272,9,146,0,0.9679715302491103,1.0,0.6370023419203747,0.48398576512455516,-0.03202846975088969
0.027730478380043916,272,9,146,0,0.9679715302491103,1.0,0.6370023419203747,0.48398576512455516,-0.03202846975088969
0.032758825706626915,270,11,146,0,0.9608540925266904,1.0,0.6323185011709602,0.4804270462633452,-0.039145907473309594
0.037787173033209914,270,11,146,0,0.9608540925266904,1.0,0.6323185011709602,0.4804270462633452,-0.039145907473309594
0.042815520359792913,269,12,146,0,0.9572953736654805,1.0,0.629976580796253,0.4786476868327402,-0.042704626334519546
0.04784386768637591,268,13,146,0,0.9537366548042705,1.0,0.6276346604215457,0.47686832740213525,-0.0462633451957295
0.05287221501295891,268,13,146,0,0.9537366548042705,1.0,0.6276346604215457,0.47686832740213525,-0.0462633451957295
0.05790056233954191,268,13,146,0,0.9537366548042705,1.0,0.6276346604215457,0.47686832740213525,-0.0462633451957295
0.06292890966612494,268,13,146,0,0.9537366548042705,1.0,0.6276346604215457,0.47686832740213525,-0.0462633451957295
0.06795725699270794,268,13,146,0,0.9537366548042705,1.0,0.6276346604215457,0.47686832740213525,-0.0462633451957295
0.07298560431929094,266,15,146,0,0.9466192170818505,1.0,0.6229508196721312,0.47330960854092524,-0.053380782918149516
0.07801395164587391,266,15,146,0,0.9466192170818505,1.0,0.6229508196721312,0.47330960854092524,-0.053380782918149516
0.08304229897245693,266,15,146,0,0.9466192170818505,1.0,0.6229508196721312,0.47330960854092524,-0.053380782918149516
0.0880706462990399,265,16,146,0,0.9430604982206405,1.0,0.6206088992974239,0.47153024911032027,-0.05693950177935947
0.09309899362562293,264,17,146,0,0.9395017793594306,1.0,0.6182669789227166,0.4697508896797153,-0.06049822064056942
0.0981273409522059,263,18,146,0,0.9359430604982206,1.0,0.6159250585480094,0.4679715302491103,-0.06405693950177938
0.10315568827878893,262,19,146,0,0.9323843416370107,1.0,0.6135831381733021,0.46619217081850534,-0.06761565836298933
0.1081840356053719,261,20,146,0,0.9288256227758007,1.0,0.6112412177985949,0.46441281138790036,-0.07117437722419928
0.11321238293195493,259,22,146,0,0.9217081850533808,1.0,0.6065573770491803,0.4608540925266904,-0.07829181494661919
0.1182407302585379,259,22,145,1,0.9217081850533808,0.9931506849315068,0.6088992974238876,0.464278750060937,-0.07144249987812601
0.12326907758512093,256,25,145,1,0.9110320284697508,0.9931506849315068,0.6018735362997658,0.458940671769122,-0.08211865646175598
0.1282974249117039,254,27,145,1,0.9039145907473309,0.9931506849315068,0.5971896955503513,0.45538195290791206,-0.08923609418417588
0.13332577223828693,252,29,145,1,0.896797153024911,0.9931506849315068,0.5925058548009368,0.4518232340467021,-0.09635353190659579
0.1383541195648699,252,29,145,1,0.896797153024911,0.9931506849315068,0.5925058548009368,0.4518232340467021,-0.09635353190659579
0.14338246689145293,252,29,145,1,0.896797153024911,0.9931506849315068,0.5925058548009368,0.4518232340467021,-0.09635353190659579
