route_id,feature_group,point_index,latitude_deg,longitude_deg,altitude_m,route_length_m,desired_speed_kt
railway_0001,FFCC València - Sant Vicenç de Calders,63,39.442067203466976,-0.37776057927621826,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,64,39.44201097468269,-0.3771844346157798,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,65,39.441954743071484,-0.37660829103933835,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,66,39.44189850863338,-0.3760321485469747,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,67,39.44184227136837,-0.3754560071387655,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,68,39.441786031276514,-0.3748798668147855,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,69,39.44172897093716,-0.3743038661446925,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,70,39.441673172289704,-0.37372765568651595,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,71,39.44161737081448,-0.3731514463056195,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,72,39.44156156651152,-0.37257523800208386,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,73,39.44150575938081,-0.37199903077598456,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,74,39.441449949422406,-0.371422824627398,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,75,39.441394136636305,-0.3708466195564036,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,76,39.441338321022535,-0.3702704155630754,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,77,39.441282318922745,-0.3696942423755661,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,78,39.44122605722987,-0.3691181118528327,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,79,39.441170463817784,-0.36854187400142924,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,80,39.441114867577625,-0.36796563722429665,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,81,39.441059268509385,-0.3673894015215137,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,82,39.44100366661309,-0.3668131668931595,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,83,39.44094806188878,-0.3662369333393068,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,84,39.44089245433643,-0.36566070086003555,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,85,39.440836843956085,-0.36508446945542355,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,86,39.440781230747774,-0.3645082391255481,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,87,39.440725614711475,-0.36393200987048574,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,88,39.44066999584726,-0.36335578169031296,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,89,39.44061437415511,-0.3627795545851108,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,90,39.440557912489396,-0.3622034644185501,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,91,39.44050110476998,-0.36162743104709877,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,92,39.44044429422523,-0.36105139876979714,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,93,39.44038748085516,-0.36047536758672877,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,94,39.440330664659754,-0.35989933749796643,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,95,39.44027384563909,-0.3593233085035892,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,96,39.44021702379314,-0.35874728060367383,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,97,39.44016019912194,-0.3581712537982959,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,98,39.44010337162551,-0.35759522808753447,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,99,39.440046541303865,-0.3570192034714655,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,100,39.43998970815701,-0.3564431799501669,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,101,39.43993287218501,-0.35586715752371545,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,102,39.43987603338782,-0.355291136192189,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,103,39.4398193404975,-0.3547150915808613,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,104,39.43976266476835,-0.3541390447865746,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,105,39.43970598621374,-0.3535629990847361,100.0,19019.032960187098,120.0
railway_0001,FFCC València - Sant Vicenç de Calders,106,39.43964930483367,-0.35298695447542366,100.0,19019.032960187098,120.0
